loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
53:36.7,0,0,0,0,0,0,0,0,0,11374.4294,-0.020751953,-0.003814697,-1.000747681,11374.42436,-0.002187341,0.017787609,0.037839781,-0.001576575,-0.00575712,0.004452288,XArbitraryZVertical,0.002966381,-0.009982752,0.143715332,0.989564236,-0.020609777,-0.003001499,-0.999783099,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.8,0,0,0,0,0,0,0,0,0,11374.46459,-0.027709961,-0.007644653,-1.001937866,11374.45455,0.000517132,0.0119542,0.04017406,-0.009696519,-0.007872737,0.000284791,XArbitraryZVertical,0.002920115,-0.009655832,0.14432667,0.989478709,-0.019951381,-0.002991595,-0.99979645,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.8,0,0,0,0,0,0,0,0,0,11374.49982,-0.024124146,-0.003082275,-1.004135132,11374.48474,0.001275213,0.017088488,0.037956297,-0.009348555,-0.000446901,-0.002314448,XArbitraryZVertical,0.00277563,-0.009435505,0.144924044,0.989393873,-0.019475373,-0.002757519,-0.999806523,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.8,0,0,0,0,0,0,0,0,0,11374.53501,-0.032470703,0.000640869,-1.002120972,11374.51489,-0.01869449,-0.006231442,0.026444564,-0.007032242,-0.001511876,-0.006083548,XArbitraryZVertical,0.002716031,-0.009457456,0.145425882,0.989320134,-0.019502867,-0.00262333,-0.999806345,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.9,0,0,0,0,0,0,0,0,0,11374.57022,-0.030914307,-0.005630493,-1.001327515,11374.54508,0.008181255,0.00466687,0.021557979,-0.013623971,0.002431916,0.000136852,XArbitraryZVertical,0.002704936,-0.009597515,0.14575469,0.989270467,-0.019777592,-0.002554061,-0.999801159,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.9,0,0,0,0,0,0,0,0,0,11374.60541,-0.02432251,-0.006072998,-0.999938965,11374.57523,-0.008548124,-0.002113703,0.000575633,-0.01092837,-0.003075061,-0.001530528,XArbitraryZVertical,0.002722433,-0.009700076,0.145916486,0.9892456,-0.019986011,-0.002555507,-0.999796987,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.9,0,0,0,0,0,0,0,0,0,11374.6406,-0.027481079,-0.003356934,-1.000488281,11374.63559,-0.011994586,-0.014529196,-0.004922896,-0.008668298,-0.002701055,-0.001091838,XArbitraryZVertical,0.002668467,-0.010194835,0.145936422,0.989237886,-0.020949086,-0.002303902,-0.999777913,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.0,0,0,0,0,0,0,0,0,0,11374.67581,-0.028259277,-0.007568359,-0.999557495,11374.66574,-0.011715399,-0.009842791,-0.003418343,-0.00557871,-0.000362566,-0.00180757,XArbitraryZVertical,0.00256793,-0.010552846,0.145838458,0.9892488,-0.021627786,-0.002002622,-0.999764085,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.0,0,0,0,0,0,0,0,0,0,11374.711,-0.027648926,-0.00428772,-1.000778198,11374.69592,-0.010490589,-0.013805759,-0.014161168,-0.004157597,-0.001563388,-0.005541384,XArbitraryZVertical,0.002499774,-0.010818602,0.145687668,0.989268263,-0.022133371,-0.00179362,-0.999753416,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.0,0,0,0,0,0,0,0,0,0,11374.74619,-0.02532959,-0.004577637,-0.992980957,11374.72608,0.001687271,-0.016278299,-0.010118257,-0.002867246,-0.009057662,-0.005219162,XArbitraryZVertical,0.002623436,-0.011097946,0.145584039,0.98928018,-0.022721818,-0.001959258,-0.999739885,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.1,0,0,0,0,0,0,0,0,0,11374.7814,-0.021057129,-0.002609253,-0.995407104,11374.75626,0.001932492,-0.007061816,-0.014436023,-0.0031297,-0.000790407,0.006652296,XArbitraryZVertical,0.002599993,-0.011439444,0.145351482,0.989310466,-0.023390148,-0.001818921,-0.999724746,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.1,0,0,0,0,0,0,0,0,0,11374.81659,-0.024749756,0.001037598,-0.998565674,11374.78644,-0.000523187,-0.009884561,-0.023128081,0.00257691,-0.000583362,0.004311562,XArbitraryZVertical,0.002717389,-0.011545758,0.145113779,0.989343842,-0.023634112,-0.002025966,-0.999718606,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.1,0,0,0,0,0,0,0,0,0,11374.85178,-0.024490356,-0.005172729,-0.99899292,11374.84677,-0.013716731,0.007207688,-0.010532828,-0.001630165,-0.003808324,0.000159979,XArbitraryZVertical,0.002869379,-0.011533923,0.14465779,0.989410391,-0.023653723,-0.002341043,-0.999717474,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.2,0,0,0,0,0,0,0,0,0,11374.887,-0.025787354,-0.008163452,-0.995635986,11374.87692,0.004481714,0.019429201,0.008327412,0.002125006,0.002438836,0.003464222,XArbitraryZVertical,0.002734754,-0.011384731,0.144629884,0.98941654,-0.023319537,-0.002118477,-0.999725819,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.2,0,0,0,0,0,0,0,0,0,11374.92218,-0.015213013,0.004776001,-1.001998901,11374.90711,-0.004777609,0.009315826,0.024380082,0.002934754,-0.003627228,0.004343808,XArbitraryZVertical,0.002710755,-0.011172497,0.144931543,0.989374873,-0.022893323,-0.002125411,-0.999735653,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.2,0,0,0,0,0,0,0,0,0,11374.9574,-0.020202637,-0.001617432,-1.000518799,11374.93729,-0.006152488,-0.005970739,0.012715004,0.003586544,0.003749521,-0.003289402,XArbitraryZVertical,0.002572586,-0.011290563,0.145190848,0.989335872,-0.023087351,-0.00181173,-0.999731839,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.3,0,0,0,0,0,0,0,0,0,11374.99259,-0.02293396,-0.004272461,-0.997940063,11374.96744,-0.013798624,0.009343215,0.010607145,0.003053432,-0.000567689,-0.000726521,XArbitraryZVertical,0.002435087,-0.011334218,0.145368248,0.989309661,-0.023134071,-0.00152284,-0.999731183,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.4,0,0,0,0,0,0,0,0,0,11375.02777,-0.031265259,-0.002609253,-0.999359131,11375.02777,-0.007997083,0.019161206,0.028772134,-0.008335516,-0.003087436,0.001071811,XArbitraryZVertical,0.001835973,-0.011156927,0.145919252,0.989231896,-0.022609383,-0.000376384,-0.999744296,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.4,0,0,0,0,0,0,0,0,0,11375.06299,-0.032272339,-0.007141113,-1.00227356,11375.05795,0.010696023,0.001218279,0.024806654,-0.005461043,-0.000985511,-0.003269255,XArbitraryZVertical,0.001880966,-0.010975727,0.146290951,0.989178967,-0.022264251,-0.000509925,-0.999751985,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.4,0,0,0,0,0,0,0,0,0,11375.09818,-0.028686523,0.014953613,-1.006378174,11375.08814,-0.003529396,-0.005710978,0.012032153,-0.005289547,-0.006564063,-0.010395646,XArbitraryZVertical,0.00201034,-0.010966004,0.146667677,0.989123007,-0.022283157,-0.000760231,-0.999751389,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.4,0,0,0,0,0,0,0,0,0,11375.13336,-0.03302002,0.017852783,-1.008956909,11375.11829,0.032881111,0.008093107,-0.008736359,-0.016853856,0.018566448,-0.008006513,XArbitraryZVertical,0.002331954,-0.01105034,0.146748704,0.989109262,-0.02254441,-0.001369868,-0.999744892,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.5,0,0,0,0,0,0,0,0,0,11375.16858,-0.03956604,0.012268066,-1.017913818,11375.14847,0.003082833,-0.026967715,-0.046178222,-0.012195669,0.019175969,-0.014500916,XArbitraryZVertical,0.002641208,-0.011192138,0.146366304,0.989163603,-0.022914879,-0.00194887,-0.999735534,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.5,0,0,0,0,0,0,0,0,0,11375.20377,-0.039642334,-0.005752563,-1.006332397,11375.17862,0.001865723,-0.050329927,-0.066652276,-0.014631502,0.011866,-0.017629445,XArbitraryZVertical,0.002800827,-0.011827991,0.145468511,0.989288201,-0.024217447,-0.00210045,-0.99970448,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.5,0,0,0,0,0,0,0,0,0,11375.23898,-0.030822754,-0.009231567,-1.01675415,11375.23898,0.043083802,-0.076538384,-0.028298458,-0.002009979,-0.005143665,-0.020921469,XArbitraryZVertical,0.002934375,-0.014078706,0.143962813,0.989478544,-0.028706038,-0.001753383,-0.999586344,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.6,0,0,0,0,0,0,0,0,0,11375.27417,-0.025344849,-0.027420044,-1.013427734,11375.26914,0.064633206,-0.074763075,0.00624775,0.002976697,-0.014930342,-0.010116279,XArbitraryZVertical,0.003906184,-0.015123793,0.143810397,0.98948203,-0.031052943,-0.00338028,-0.999512017,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.6,0,0,0,0,0,0,0,0,0,11375.30936,-0.025497437,-0.012207031,-0.988830566,11375.29932,0.060090885,-0.086603478,0.018695615,0.007105503,-0.022657989,0.00335598,XArbitraryZVertical,0.004971885,-0.01629945,0.1440244,0.989427333,-0.033686388,-0.005143601,-0.999419212,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.6,0,0,0,0,0,0,0,0,0,11375.34458,-0.02180481,-0.02053833,-0.995895386,11375.32947,0.041890472,-0.057769775,0.031117745,0.007011704,-0.014260001,0.021919012,XArbitraryZVertical,0.006080283,-0.017177106,0.144357579,0.989357766,-0.035744075,-0.007071861,-0.999335945,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.7,0,0,0,0,0,0,0,0,0,11375.37976,-0.034225464,-0.004943848,-0.983703613,11375.35965,0.003521866,-0.067853525,0.021407994,0.014397666,0.001475487,0.004972875,XArbitraryZVertical,0.006511841,-0.018015735,0.144695135,0.98929077,-0.037530065,-0.00767063,-0.999266088,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.7,0,0,0,0,0,0,0,0,0,11375.41495,-0.038421631,-0.018249512,-0.985824585,11375.38983,0.038435794,-0.030389898,0.033236191,0.00425297,0.001792268,0.01752317,XArbitraryZVertical,0.007343197,-0.018433409,0.145127583,0.989213987,-0.038600571,-0.009177594,-0.999212563,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:37.7,0,0,0,0,0,0,0,0,0,11375.45017,-0.041625977,-0.005905151,-0.983184814,11375.41998,0.00799135,-0.012460657,0.034005627,0.000362612,-0.007936518,0.013369799,XArbitraryZVertical,0.007928204,-0.018437772,0.145652518,0.989132242,-0.038784314,-0.010313069,-0.999194384,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
