loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2021-03-13 00:54:06.920 -0500,0,0,0,0,0,0,0,0,0,11404.62931141667,-0.2331390380859375,0.173004150390625,-0.93072509765625,11404.62427641667,2.458462292338135,-0.1632534189834771,-0.2681969425459138,0.0889621302485466,-0.03338710218667984,-0.3622851073741913,-0.08253897726535797,-0.07517385482788086,0.02871513366699219,XArbitraryZVertical,0.03150185046882972,-0.1526203500034971,0.9343147601200301,0.3205783366314757,-0.1567188501358032,0.264993280172348,-0.9514293074607849,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
2021-03-13 00:54:06.956 -0500,0,0,0,0,0,0,0,0,0,11404.66449841667,-0.25103759765625,0.1743927001953125,-0.9722900390625,11404.65445841667,2.445536339252368,-0.1701053754892083,-0.2612167663486538,-0.04357948899269104,-0.1390660405158997,-0.4847548305988312,-0.07505828142166138,-0.09587210416793823,-0.009430050849914551,XArbitraryZVertical,0.03492078674454791,-0.1507117608526277,0.9324445510036704,0.3265173895510452,-0.1635434180498123,0.2582562267780304,-0.9521329998970032,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
2021-03-13 00:54:06.991 -0500,0,0,0,0,0,0,0,0,0,11404.69968541667,-0.274261474609375,0.2161407470703125,-0.99847412109375,11404.68460941667,2.42826563062453,-0.1813276955342999,-0.2590374476893655,-0.100242480635643,-0.1988240927457809,-0.5661283731460571,-0.08936801552772522,-0.07006922364234924,-0.02739077806472778,XArbitraryZVertical,0.03922125448559322,-0.1518787225768981,0.9294847000985743,0.3338453361453205,-0.1743191182613373,0.2561502456665039,-0.9507890939712524,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
2021-03-13 00:54:07.026 -0500,0,0,0,0,0,0,0,0,0,11404.73490241667,-0.2366943359375,0.1454010009765625,-0.980712890625,11404.71479141667,2.410070289899308,-0.193370903490732,-0.2541066927940472,0.1110621392726898,-0.1628551036119461,-0.5493820309638977,-0.08441905677318573,-0.02742758393287659,-0.04136210680007935,XArbitraryZVertical,0.04431453674209748,-0.1520257862023218,0.9263731243836945,0.3416973280096821,-0.1859972029924393,0.2513808906078339,-0.9498487710952759,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
2021-03-13 00:54:07.061 -0500,0,0,0,0,0,0,0,0,0,11404.77008941667,-0.2618408203125,0.177093505859375,-0.9442901611328125,11404.74494241667,2.393984454559648,-0.2042738583242951,-0.2444579491079327,0.07501761615276337,-0.2244305014610291,-0.5659707188606262,-0.04166990518569946,-0.1039993315935135,-0.02356791496276855,XArbitraryZVertical,0.04992047632046235,-0.1498674834707635,0.9237236078208427,0.3489734297763546,-0.1968249827623367,0.2420304268598557,-0.9500953555107117,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
2021-03-13 00:54:07.097 -0500,0,0,0,0,0,0,0,0,0,11404.80530641667,-0.2655181884765625,0.25457763671875,-0.976806640625,11404.77512441667,2.375720009607028,-0.2168527294927493,-0.2399222878377184,-0.1072783395648003,-0.1873728334903717,-0.5903167128562927,-0.05284655094146729,-0.06053356826305389,0.004316627979278564,XArbitraryZVertical,0.05520193586772189,-0.1504971113174511,0.9203362202986137,0.3567695918382012,-0.2089942693710327,0.2376271337270737,-0.9486067295074463,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
2021-03-13 00:54:07.131 -0500,0,0,0,0,0,0,0,0,0,11404.84049341667,-0.2820892333984375,0.2835693359375,-1.008438110351562,11404.83545741667,2.341221037747887,-0.2271772023801381,-0.2383746979378192,-0.2728308141231537,0.1527194827795029,-0.4584628045558929,-0.06666308641433716,0.04117447137832642,-0.04794955253601074,XArbitraryZVertical,0.05762267639295551,-0.152649329869025,0.9138123259472254,0.3719202707739358,-0.218859389424324,0.2361235916614532,-0.9467556476593018,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
2021-03-13 00:54:07.167 -0500,0,0,0,0,0,0,0,0,0,11404.87568041667,-0.1587371826171875,0.3396148681640625,-1.069229125976562,11404.86563941667,2.326546834708581,-0.2249130677924719,-0.2434431385418829,-0.3582509160041809,0.2776822447776794,-0.3751345574855804,0.01216086745262146,0.07702387869358063,-0.1054894924163818,XArbitraryZVertical,0.05444750928509851,-0.1549209696563852,0.9109564167229378,0.3784088684275727,-0.2164455503225327,0.241045668721199,-0.9460698962211609,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
2021-03-13 00:54:07.202 -0500,0,0,0,0,0,0,0,0,0,11404.91089741667,-0.110321044921875,0.276580810546875,-0.925689697265625,11404.89579141667,2.312369245533618,-0.2221252028816397,-0.2503591279276192,-0.2865591943264008,0.2405824065208435,-0.3811314105987549,0.06930029392242432,0.09941616654396057,-0.09710854291915894,XArbitraryZVertical,0.05066476710120077,-0.1578689747475118,0.908090503144567,0.3845544827832486,-0.2134348303079605,0.2477519065141678,-0.9450209140777588,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
2021-03-13 00:54:07.237 -0500,0,0,0,0,0,0,0,0,0,11404.94608441667,-0.2027587890625,0.3037567138671875,-0.8889007568359375,11404.92597341667,2.297232346796434,-0.2221782497289478,-0.2553806216113809,-0.2206284999847412,0.07602624595165253,-0.5062121748924255,0.1013611853122711,0.004710614681243896,0.05042791366577148,XArbitraryZVertical,0.04844621812848084,-0.1605019131460443,0.9049788508933444,0.3910312445141482,-0.2132081240415573,0.2526136934757233,-0.9437841773033142,0,0,0,-1,-1,11399.25406475,walking,2,2021-03-13 00:54:01.543 -0500,2021-03-13 00:47:42.026 -0500,31,2.446522,0,0,22.311,0,0,2021-03-13 00:54:06.691 -0500,637307646.6910009,0,0.9799995,99.51553,1,0.92
